"","TOC","BD_fine","depth"
"440",6.875,1.05,30
"441",5.516,1.22,37
"442",0.065,1.71,88
"443",1.696,1.23,50
"444",0.048,1.74,80
"445",0.12,1.82,100
"446",0.039,1.66,100
"447",0.05,1.77,70
"448",0.044,1.76,100
"449",0.132,1.73,70
"450",0.056,1.75,100
"451",0.065,1.61,70
"452",0.059,1.82,100
"453",0.265,1.51,70
"454",0.138,1.45,100
"455",3.019,1.23,10
"456",2.02,1.43,50
"457",1.505,1.62,70
"458",0.29,1.64,100
"459",0.27,1.61,50
"460",0.104,1.59,70
"461",0.104,1.62,100
"462",0.323,1.46,70
"463",0.076,1.67,100
"464",0.256,1.61,82
"465",1.046,1.38,40
"466",0.213,1.6,50
"467",0.253,1.56,60
"468",0.137,1.61,70
"469",0.129,1.5,100
"470",0.291,1.55,70
"471",0.3,1.57,80
"472",0.17,1.61,100
"473",0.437,1.43,70
"474",0.164,1.49,70
"475",0.142,1.57,100
"476",4.831,1,10
"477",2.191,1.29,30
"478",1.752,1.3,70
"479",0.339,1.45,50
"480",0.307,1.48,70
"481",0.432,1.42,70
"482",1.341,1.61,30
"483",0.253,1.4,84
"484",1.046,1.2,50
"485",0.786,1.4,60
"486",0.787,1.59,50
"487",0.12,1.77,100
"488",0.067,1.6,100
"489",0.148,1.7,70
"490",0.096,1.72,84
"491",2.758,1.06,10
"492",0.052,1.72,50
"493",0.079,1.76,70
"494",0.073,1.76,100
"495",0.352,1.63,50
"496",0.091,1.65,100
"497",0.667,1.68,50
"498",0.62,1.68,60
"499",0.182,1.76,100
"500",0.485,1.4,85
"501",0.268,1.4,70
"502",0.114,1.58,70
"503",0.078,1.59,100
"504",0.311,1.47,50
"505",0.144,1.55,70
"506",0.134,1.55,100
"507",1.781,1.4,50
"508",0.885,1.41,70
"509",1.775,1.3,10
"510",1.707,1.4,30
"511",0.855,1.5,40
"512",0.351,1.44,50
"513",0.294,1.49,70
"514",0.111,1.42,100
"515",5.985,0.78,10
"516",0.88,1.37,65
"517",0.195,1.58,50
"518",0.255,1.44,60
"519",0.204,1.48,70
"520",0.127,1.54,100
"521",0.804,1.39,50
"522",0.578,1.31,70
"523",0.28,1.32,90
"524",0.143,1.41,100
"525",4.345,1.13,10
"526",0.576,1.52,70
"527",0.286,1.53,100
"528",1.503,1.59,50
"529",0.317,1.69,70
"530",0.116,1.7,80
"531",0.122,1.76,90
"532",0.134,1.81,100
"533",5.296,0.82,10
"534",0.507,1.61,30
"535",0.483,1.71,50
"536",0.115,1.6,90
"537",0.292,1.5,100
"538",0.398,1.52,70
"539",0.204,1.55,60
"540",0.14,1.52,100
"541",0.259,1.41,70
"542",0.215,1.51,95
"543",0.37,1.37,50
"544",6.006,1.04,10
"545",1.753,1.3,70
"546",1.245,1.41,100
"547",0.186,1.7,100
"548",0.089,1.62,70
"549",1.011,1.36,50
"550",0.088,1.62,100
"551",2.105,1.14,10
"552",2.164,1.34,30
"553",2.15,1.29,38
"554",0.486,1.57,50
"555",0.225,1.68,70
"556",0.123,1.72,100
"557",2.786,1.31,30
"558",1.988,1.51,50
"559",0.26,1.66,70
"560",0.088,1.74,100
"561",0.229,1.67,50
"562",0.171,1.7,70
"563",0.404,1.47,50
"564",0.072,1.56,100
"565",0.09,1.69,70
"566",0.08,1.64,100
"567",2.062,0.98,10
"568",1.704,1.4,30
"569",1.518,1.32,50
"570",1.622,1.31,70
"571",1.363,1.41,90
