depth increment	TOC	BD_fine	BD_all	Steingehalt
30	1.429	1.53	1.53	0
70	0.852	1.32	1.32	0
90	0.273	1.55	1.55	0
100	0.155	1.78	1.78	0
30	1.357	1.35	1.36	0
10	1.489	1.11	1.12	0
30	1.457	1.35	1.35	0
70	0.088	1.67	1.67	0
100	0.064	1.7	1.7	0
10	3.062	1.07	1.09	0
30	2.992	1.32	1.32	0
50	1.581	1.53	1.53	0
70	0.243	1.63	1.63	0
100	0.109	1.79	1.79	0
30	1.694	1.51	1.51	0
50	0.453	1.57	1.57	0
100	0.1	1.71	1.71	0
50	0.158	1.59	1.59	0
100	0.106	1.6	1.6	0
50	5.804	1.1	1.1	0
70	2.861	0.61	0.61	0
95	2.673	0.86	0.86	0
100	0.386	1.69	1.69	0
10	1.824	1.26	1.26	0
30	1.75	1.38	1.38	0
50	1.817	1.44	1.44	0
70	1.109	1.36	1.36	0
90	0.214	1.64	1.64	0
50	2.359	1.39	1.39	0
50	2.169	1.36	1.36	0
50	0.498	1.76	1.76	0
70	1.839	1.41	1.41	0
85	0.242	1.61	1.61	0
100	0.116	1.64	1.64	0
70	0.214	1.73	1.73	0
100	0.265	1.64	1.65	0
70	0.119	1.7	1.7	0
100	0.171	1.61	1.61	0
100	0.1	1.71	1.71	0
100	0.339	1.72	1.72	0
70	0.074	1.7	1.7	0
90	0.099	1.58	1.58	0
100	0.096	1.55	1.55	0
50	1.058	1.54	1.54	0
70	0.36	1.64	1.64	0
100	0.148	1.56	1.56	0
100	0.171	1.58	1.58	0
70	0.065	1.74	1.74	0
10	8.209	0.78	0.79	0
10	2.616	1.4	1.4	0
40	0.408	1.51	1.51	0
50	0.126	1.71	1.71	0
80	0.05	1.76	1.76	0
100	3.205	1.01	1.01	0
30	0.553	1.53	1.53	0
50	0.081	1.55	1.55	0
70	0.055	1.6	1.6	0
100	0.067	1.76	1.76	0
50	1.448	1.49	1.49	0
70	0.871	1.51	1.51	0
100	0.089	1.69	1.69	0
70	0.126	1.69	1.72	0
100	0.101	1.49	1.53	0
10	8.461	0.94	0.95	0
30	6.875	1.05	1.06	0
37	5.516	1.22	1.22	0
88	0.065	1.71	1.71	0
50	1.696	1.23	1.23	0
80	0.048	1.74	1.74	0
100	0.12	1.82	1.82	0
100	0.039	1.66	1.66	0
70	0.05	1.77	1.77	0
100	0.044	1.76	1.76	0
70	0.132	1.73	1.73	0
100	0.056	1.75	1.75	0
70	0.065	1.61	1.61	0
100	0.059	1.82	1.82	0
70	0.265	1.51	1.51	0
100	0.138	1.45	1.45	0
10	3.019	1.23	1.24	0
50	2.02	1.43	1.43	0
70	1.505	1.62	1.62	0
100	0.29	1.64	1.65	0
50	0.27	1.61	1.61	0
70	0.104	1.59	1.59	0
100	0.104	1.62	1.62	0
70	0.323	1.46	1.46	0
100	0.076	1.67	1.67	0
82	0.256	1.61	1.61	0
40	1.046	1.38	1.39	0
50	0.213	1.6	1.6	0
60	0.253	1.56	1.56	0
70	0.137	1.61	1.62	0
100	0.129	1.5	1.5	0
70	0.291	1.55	1.55	0
80	0.3	1.57	1.57	0
100	0.17	1.61	1.61	0
70	0.437	1.43	1.43	0
70	0.164	1.49	1.49	0
100	0.142	1.57	1.57	0
10	4.831	1	1.01	0
30	2.191	1.29	1.29	0
70	1.752	1.3	1.3	0
50	0.339	1.45	1.45	0
70	0.307	1.48	1.48	0
70	0.432	1.42	1.42	0
30	1.341	1.61	1.61	0
84	0.253	1.4	1.4	0
50	1.046	1.2	1.2	0
60	0.786	1.4	1.4	0
50	0.787	1.59	1.59	0
100	0.12	1.77	1.77	0
100	0.067	1.6	1.6	0
70	0.148	1.7	1.7	0
84	0.096	1.72	1.72	0
10	2.758	1.06	1.08	0
50	0.052	1.72	1.72	0
70	0.079	1.76	1.76	0
100	0.073	1.76	1.76	0
50	0.352	1.63	1.63	0
100	0.091	1.65	1.65	0
50	0.667	1.68	1.68	0
60	0.62	1.68	1.68	0
100	0.182	1.76	1.76	0
85	0.485	1.4	1.4	0
70	0.268	1.4	1.4	0
70	0.114	1.58	1.58	0
100	0.078	1.59	1.59	0
50	0.311	1.47	1.47	0
70	0.144	1.55	1.55	0
100	0.134	1.55	1.55	0
50	1.781	1.4	1.4	0
70	0.885	1.41	1.41	0
10	1.775	1.3	1.3	0
30	1.707	1.4	1.4	0
40	0.855	1.5	1.5	0
50	0.351	1.44	1.44	0
70	0.294	1.49	1.49	0
100	0.111	1.42	1.42	0
10	5.985	0.78	0.78	0
65	0.88	1.37	1.37	0
50	0.195	1.58	1.58	0
60	0.255	1.44	1.44	0
70	0.204	1.48	1.48	0
100	0.127	1.54	1.54	0
50	0.804	1.39	1.39	0
70	0.578	1.31	1.31	0
90	0.28	1.32	1.32	0
100	0.143	1.41	1.41	0
10	4.345	1.13	1.13	0
70	0.576	1.52	1.52	0
100	0.286	1.53	1.53	0
50	1.503	1.59	1.59	0
70	0.317	1.69	1.7	0
80	0.116	1.7	1.7	0
90	0.122	1.76	1.76	0
100	0.134	1.81	1.81	0
10	5.296	0.82	0.84	0
30	0.507	1.61	1.61	0
50	0.483	1.71	1.71	0
90	0.115	1.6	1.6	0
100	0.292	1.5	1.5	0
70	0.398	1.52	1.52	0
60	0.204	1.55	1.55	0
100	0.14	1.52	1.52	0
70	0.259	1.41	1.41	0
95	0.215	1.51	1.51	0
50	0.37	1.37	1.37	0
10	6.006	1.04	1.05	0
70	1.753	1.3	1.3	0
100	1.245	1.41	1.41	0
100	0.186	1.7	1.7	0
70	0.089	1.62	1.62	0
50	1.011	1.36	1.36	0
100	0.088	1.62	1.62	0
10	2.105	1.14	1.16	0
30	2.164	1.34	1.34	0
38	2.15	1.29	1.29	0
50	0.486	1.57	1.57	0
70	0.225	1.68	1.68	0
100	0.123	1.72	1.72	0
30	2.786	1.31	1.31	0
50	1.988	1.51	1.51	0
70	0.26	1.66	1.66	0
100	0.088	1.74	1.74	0
50	0.229	1.67	1.67	0
70	0.171	1.7	1.7	0
50	0.404	1.47	1.47	0
100	0.072	1.56	1.56	0
70	0.09	1.69	1.69	0
100	0.08	1.64	1.64	0
10	2.062	0.98	0.98	0
30	1.704	1.4	1.4	0
50	1.518	1.32	1.32	0
70	1.622	1.31	1.31	0
90	1.363	1.41	1.41	0
100	0.879	1.32	1.32	0
100	0.279	1.39	1.39	0
70	1.608	1.23	1.23	0
70	0.471	1.32	1.32	0
100	0.165	1.53	1.53	0
100	0.253	1.39	1.39	0
50	0.066	1.69	1.69	0
10	3.913	1.15	1.15	0
50	0.359	1.4	1.4	0
100	0.231	1.22	1.22	0
70	0.197	1.7	1.7	0
78	0.134	1.71	1.71	0
100	0.103	1.7	1.7	0
10	1.779	1.27	1.28	0
83	0.218	1.44	1.44	0
50	0.201	1.59	1.59	0
50	0.181	1.64	1.64	0
70	3.6	1.13	1.13	0
100	1.48	1.45	1.45	0
100	0.106	1.69	1.69	0
50	0.399	1.49	1.51	0
60	0.255	1.38	1.38	0
10	1.604	1.17	1.23	0
30	1.527	1.31	1.31	0
70	0.397	1.58	1.58	0
100	0.324	1.51	1.51	0
10	2.614	1.25	1.25	0
90	0.189	1.52	1.52	0
30	1.996	1.41	1.41	0
70	0.573	1.32	1.32	0
50	1.892	1.29	1.29	0
70	1.389	1.36	1.36	0
100	0.367	1.5	1.5	0
70	1.975	1.31	1.31	0
100	0.099	1.64	1.64	0
70	0.563	1.22	1.22	0
100	0.229	1.41	1.41	0
10	1.798	1.03	1.03	0
30	1.523	1.5	1.5	0
40	1.484	1.43	1.43	0
50	0.527	1.52	1.52	0
100	0.36	1.47	1.47	0
50	0.495	1.67	1.67	0
70	0.195	1.61	1.61	0
100	0.414	1.35	1.35	0
100	0.087	1.58	1.58	0
70	0.128	1.75	1.75	0
100	0.103	1.77	1.77	0
10	3.481	1.01	1.02	0
70	0.748	1.45	1.45	0
100	0.135	1.72	1.72	0
10	2.606	1.23	1.24	0
70	0.49	1.76	1.76	0
82	0.417	1.7	1.7	0
100	0.263	1.45	1.45	0
70	0.479	1.42	1.42	0
30	2.604	1.36	1.36	0
100	0.267	1.36	1.36	0
70	1.288	1.39	1.39	0
80	1.052	1.37	1.37	0
100	1.113	1.31	1.31	0
70	0.056	1.7	1.7	0
30	3.775	1.3	1.3	0
70	0.461	1.36	1.36	0
100	0.266	1.27	1.27	0
70	0.462	1.49	1.49	0
100	0.277	1.5	1.5	0
50	0.451	1.49	1.49	0
40	1.107	1.58	1.58	0
50	0.642	1.58	1.58	0
50	0.145	1.55	1.55	0
70	0.076	1.57	1.57	0
100	0.041	1.64	1.64	0
10	2.373	1.22	1.24	0
100	0.131	1.57	1.57	0
70	0.318	1.63	1.63	0
100	0.139	1.62	1.62	0
10	1.095	1.23	1.24	0
35	0.511	1.5	1.5	0
50	0.315	1.46	1.46	0
70	0.19	1.54	1.54	0
100	0.149	1.56	1.56	0
50	0.636	1.34	1.34	0
70	0.233	1.49	1.49	0
90	0.168	1.46	1.46	0
50	1.633	1.3	1.3	0
70	0.832	1.32	1.32	0
78	0.422	1.32	1.32	0
100	0.235	1.33	1.33	0
30	4.674	0.91	0.91	0
50	4.68	0.88	0.88	0
50	0.93	1.51	1.51	0
70	0.589	1.65	1.65	0
70	0.438	1.49	1.49	0
50	0.215	1.54	1.54	0
70	0.148	1.57	1.57	0
100	0.112	1.56	1.56	0
50	0.067	1.65	1.65	0
100	0.101	1.67	1.67	0
100	0.156	1.52	1.53	0
10	1.68	1.3	1.31	0
50	0.213	1.63	1.63	0
70	0.128	1.66	1.66	0
100	0.137	1.65	1.65	0
10	1.134	1.21	1.21	0
70	0.17	1.52	1.52	0
70	0.858	1.36	1.36	0
100	0.531	1.54	1.54	0
10	4.062	0.91	0.91	0
30	1.967	1.29	1.29	0
50	1.497	1.34	1.34	0
70	0.986	1.41	1.41	0
100	0.697	1.39	1.39	0
10	1.387	1.33	1.33	0
70	0.212	1.55	1.55	0
100	0.185	1.52	1.52	0
50	0.496	1.47	1.47	0
70	0.25	1.47	1.47	0
100	0.207	1.51	1.51	0
50	0.309	1.45	1.45	0
70	0.224	1.45	1.45	0
50	1.184	1.31	1.31	0
70	1.148	1.24	1.24	0
40	0.684	1.39	1.39	0
42	0.859	1.53	1.53	0
50	0.62	1.44	1.44	0
10	5.298	0.94	0.94	0
50	0.319	1.54	1.54	0
70	0.197	1.54	1.54	0
30	1.817	1.38	1.38	0
70	0.346	1.58	1.58	0
100	0.116	1.48	1.48	0
50	0.311	1.46	1.46	0
70	0.142	1.55	1.55	0
100	0.083	1.59	1.59	0
100	0.307	1.45	1.45	0
10	5.353	0.9	0.91	0
50	0.403	1.47	1.47	0
100	0.096	1.64	1.64	0
100	1.694	1.38	1.38	0
50	1.022	1.31	1.31	0
70	1.287	1.26	1.26	0
100	1.409	1.12	1.12	0
50	6.237	0.72	0.72	0
100	1.639	1.28	1.28	0
30	3.259	1.04	1.04	0
50	1.89	1.21	1.21	0
70	1.745	1.43	1.43	0
70	0.535	1.4	1.4	0
70	0.299	1.3	1.3	0
70	0.225	1.56	1.56	0
50	0.436	1.56	1.56	0
70	0.204	1.61	1.61	0
50	0.368	1.52	1.52	0
70	0.215	1.52	1.52	0
10	1.744	0.94	0.96	0
50	0.539	1.45	1.45	0
100	0.116	1.6	1.6	0
40	1.019	1.4	1.4	0
50	0.469	1.51	1.51	0
70	0.371	1.45	1.45	0
41	0.64	1.42	1.42	0
50	0.594	1.27	1.27	0
100	0.222	1.62	1.62	0
70	0.196	1.47	1.47	0
30	1.538	1.51	1.51	0
100	0.815	1.36	1.36	0
50	0.294	1.57	1.57	0
70	0.225	1.55	1.55	0
83	0.146	1.57	1.57	0
100	0.097	1.62	1.62	0
70	0.211	1.41	1.41	0
70	0.93	1.4	1.4	0
10	4.555	0.98	0.99	0
30	3.967	1.19	1.19	0
50	5.753	1.14	1.14	0
70	2.619	1.17	1.17	0
100	2.098	1.28	1.28	0
70	0.393	1.4	1.4	0
100	0.225	1.5	1.5	0
50	0.488	1.38	1.38	0
50	0.409	1.59	1.59	0
10	2.516	1.12	1.12	0
100	0.251	1.27	1.27	0
30	0.983	1.48	1.48	0
50	0.295	1.4	1.4	0
100	0.164	1.43	1.43	0
100	0.105	1.59	1.59	0
70	0.389	1.45	1.45	0
70	0.2	1.48	1.48	0
100	0.114	1.52	1.52	0
100	0.268	1.48	1.48	0
90	0.334	1.48	1.48	0
100	0.187	1.61	1.61	0
30	1.364	1.09	1.1	0
100	0.068	1.67	1.67	0
70	0.789	1.49	1.49	0
90	1.376	1.45	1.45	0
100	0.213	1.58	1.58	0
10	1.1	1.29	1.3	0
50	0.255	1.61	1.61	0
70	0.113	1.55	1.55	0
44	0.316	1.44	1.44	0
50	0.246	1.38	1.38	0
70	0.167	1.51	1.51	0
93	0.128	1.57	1.57	0
38	0.256	1.52	1.52	0
50	0.256	1.45	1.45	0
70	0.187	1.48	1.48	0
100	0.147	1.44	1.44	0
100	0.248	1.52	1.52	0
70	0.158	1.54	1.54	0
100	0.51	1.52	1.52	0
35	1.013	1.47	1.47	0
85	0.242	1.71	1.71	0
100	0.258	1.44	1.44	0
10	1.581	1.19	1.2	0
40	0.33	1.58	1.58	0
58	0.311	1.47	1.47	0
70	0.282	1.4	1.4	0
100	0.329	1.45	1.45	0
50	0.601	1.45	1.45	0
70	0.339	1.44	1.44	0
100	0.198	1.42	1.42	0
70	0.075	1.59	1.59	0
